wtB,B,shift_t,R,wA,cA,required_f,Kres,status
4,2632,3,16,3,2,2,0,PASS
5,331,0,13,2,1,2,1,PASS
5,662,1,14,2,1,2,1,PASS
5,1324,2,15,2,1,2,1,PASS
5,2648,3,16,2,1,2,1,PASS
5,333,0,13,2,1,2,1,PASS
5,666,1,14,2,1,2,1,PASS
5,1332,2,15,2,1,2,1,PASS
5,2664,3,16,2,1,2,1,PASS
6,335,0,13,1,0,2,2,PASS
6,670,1,14,1,0,2,2,PASS
6,1340,2,15,1,0,2,2,PASS
6,2680,3,16,1,0,2,2,PASS
4,337,0,13,3,2,2,0,PASS
4,674,1,14,3,2,2,0,PASS
4,1348,2,15,3,2,2,0,PASS
4,2696,3,16,3,2,2,0,PASS
5,339,0,13,2,1,2,1,PASS
5,678,1,14,2,1,2,1,PASS
5,1356,2,15,2,1,2,1,PASS
5,2712,3,16,2,1,2,1,PASS
5,341,0,13,2,1,2,1,PASS
5,682,1,14,2,1,2,1,PASS
5,1364,2,15,2,1,2,1,PASS
5,2728,3,16,2,1,2,1,PASS
6,343,0,13,1,0,2,2,PASS
6,686,1,14,1,0,2,2,PASS
6,1372,2,15,1,0,2,2,PASS
6,2744,3,16,1,0,2,2,PASS
5,345,0,13,2,1,2,1,PASS
5,690,1,14,2,1,2,1,PASS
5,1380,2,15,2,1,2,1,PASS
5,2760,3,16,2,1,2,1,PASS
6,347,0,13,1,0,2,2,PASS
6,694,1,14,1,0,2,2,PASS
6,1388,2,15,1,0,2,2,PASS
6,2776,3,16,1,0,2,2,PASS
6,349,0,13,1,0,2,2,PASS
6,698,1,14,1,0,2,2,PASS
6,1396,2,15,1,0,2,2,PASS
6,2792,3,16,1,0,2,2,PASS
5,355,0,13,2,1,2,1,PASS
5,710,1,14,2,1,2,1,PASS
5,1420,2,15,2,1,2,1,PASS
5,2840,3,16,2,1,2,1,PASS
5,357,0,13,2,1,2,1,PASS
5,714,1,14,2,1,2,1,PASS
5,1428,2,15,2,1,2,1,PASS
5,2856,3,16,2,1,2,1,PASS
6,359,0,13,1,0,2,2,PASS
6,718,1,14,1,0,2,2,PASS
6,1436,2,15,1,0,2,2,PASS
6,2872,3,16,1,0,2,2,PASS
5,361,0,13,2,1,2,1,PASS
5,722,1,14,2,1,2,1,PASS
5,1444,2,15,2,1,2,1,PASS
5,2888,3,16,2,1,2,1,PASS
6,363,0,13,1,0,2,2,PASS
6,726,1,14,1,0,2,2,PASS
6,1452,2,15,1,0,2,2,PASS
6,2904,3,16,1,0,2,2,PASS
6,365,0,13,1,0,2,2,PASS
6,730,1,14,1,0,2,2,PASS
6,1460,2,15,1,0,2,2,PASS
