n,l,l_star,is_brauer,g1,g2,g3,g4,g5,g6,t,time_sec
8948040,27,27,True,3,3,3,2,1,2,3,160.846
8948104,27,27,True,3,3,3,2,0,3,3,157.239
8948258,27,27,True,3,3,3,1,3,3,1,162.022
8948260,27,27,True,3,3,3,1,3,2,2,161.567
8948264,27,27,True,3,3,3,1,3,1,3,160.305
8948292,27,27,True,3,3,3,1,2,3,2,158.053
8948296,27,27,True,3,3,3,1,2,2,3,158.235
8948360,27,27,True,3,3,3,1,1,3,3,160.753
8948804,27,27,True,3,3,3,0,3,3,2,181.649
8948808,26,26,True,3,3,3,0,3,2,3,19.5971
8948872,27,27,True,3,3,3,0,2,3,3,169.148
8950033,27,27,True,3,3,2,3,3,3,0,168.492
8950034,26,26,True,3,3,2,3,3,2,1,42.5175
8950036,27,27,True,3,3,2,3,3,1,2,176.46
8950040,27,27,True,3,3,2,3,3,0,3,172.242
8950050,27,27,True,3,3,2,3,2,3,1,169.871
8950052,27,27,True,3,3,2,3,2,2,2,176.651
8950056,27,27,True,3,3,2,3,2,1,3,184.821
8950084,27,27,True,3,3,2,3,1,3,2,170.755
8950088,27,27,True,3,3,2,3,1,2,3,168.614
8950152,27,27,True,3,3,2,3,0,3,3,162.227
8950306,27,27,True,3,3,2,2,3,3,1,165.789
8950308,27,27,True,3,3,2,2,3,2,2,157.482
8950312,27,27,True,3,3,2,2,3,1,3,167.61
8950340,27,27,True,3,3,2,2,2,3,2,158.336
8950344,27,27,True,3,3,2,2,2,2,3,156.852
8950408,27,27,True,3,3,2,2,1,3,3,159.526
8950852,27,27,True,3,3,2,1,3,3,2,166.117
8950856,27,27,True,3,3,2,1,3,2,3,156.707
8950920,27,27,True,3,3,2,1,2,3,3,157.234
8951944,27,27,True,3,3,2,0,3,3,3,159.673
8954402,27,27,True,3,3,1,3,3,3,1,160.353
8954404,27,27,True,3,3,1,3,3,2,2,155.199
8954408,27,27,True,3,3,1,3,3,1,3,991.744
8954436,27,27,True,3,3,1,3,2,3,2,181.132
8954440,27,27,True,3,3,1,3,2,2,3,184.847
8954504,27,27,True,3,3,1,3,1,3,3,189.634
8954948,27,27,True,3,3,1,2,3,3,2,184.476
8954952,27,27,True,3,3,1,2,3,2,3,165.22
8955016,27,27,True,3,3,1,2,2,3,3,177.908
8956040,27,27,True,3,3,1,1,3,3,3,161.187
8963140,27,27,True,3,3,0,3,3,3,2,161.885
8963144,27,27,True,3,3,0,3,3,2,3,161.979
8963208,27,27,True,3,3,0,3,2,3,3,162.794
8964232,27,27,True,3,3,0,2,3,3,3,161.208
8982801,27,27,True,3,2,3,3,3,3,0,157.854
8982802,27,27,True,3,2,3,3,3,2,1,154.237
8982804,27,27,True,3,2,3,3,3,1,2,157.921
8982808,27,27,True,3,2,3,3,3,0,3,158.653
8982818,27,27,True,3,2,3,3,2,3,1,156.434
8982820,27,27,True,3,2,3,3,2,2,2,153.323
8982824,27,27,True,3,2,3,3,2,1,3,154.02
8982852,27,27,True,3,2,3,3,1,3,2,156.017
8982856,27,27,True,3,2,3,3,1,2,3,153.907
8982920,27,27,True,3,2,3,3,0,3,3,156.203
8983074,27,27,True,3,2,3,2,3,3,1,155.549
8983076,27,27,True,3,2,3,2,3,2,2,155.471
8983080,27,27,True,3,2,3,2,3,1,3,155.543
8983108,27,27,True,3,2,3,2,2,3,2,177.03
8983112,27,27,True,3,2,3,2,2,2,3,163.956
8983176,27,27,True,3,2,3,2,1,3,3,166.262
8983620,27,27,True,3,2,3,1,3,3,2,167.298
8983624,27,27,True,3,2,3,1,3,2,3,160.951
8983688,27,27,True,3,2,3,1,2,3,3,157.931
8984712,27,27,True,3,2,3,0,3,3,3,171.763
8987170,27,27,True,3,2,2,3,3,3,1,180.435
8987172,26,26,True,3,2,2,3,3,2,2,16.1236
8987176,27,27,True,3,2,2,3,3,1,3,191.869
8987204,27,27,True,3,2,2,3,2,3,2,165.556
